TYPE,YEAR_MONTH_KEY,ZONE,TOTAL_TRIPS,RANK
DROPOFF,2015-01,,214411,1
DROPOFF,2015-01,Upper East Side North,59540,2
DROPOFF,2015-01,Upper East Side North,54032,3
DROPOFF,2015-01,Upper East Side South,51577,4
DROPOFF,2015-01,Upper East Side South,46985,5
DROPOFF,2015-01,Lincoln Square East,32374,6
DROPOFF,2015-01,Upper West Side North,31893,7
DROPOFF,2015-01,East Village,31364,8
DROPOFF,2015-01,Upper West Side South,29637,9
DROPOFF,2015-01,Upper West Side South,28184,10
PICKUP,2015-01,,214411,1
PICKUP,2015-01,Upper East Side South,59540,2
PICKUP,2015-01,Upper East Side North,54032,3
PICKUP,2015-01,Upper East Side North,51577,4
PICKUP,2015-01,Upper East Side South,46985,5
PICKUP,2015-01,Upper West Side South,32374,6
PICKUP,2015-01,Upper West Side South,31893,7
PICKUP,2015-01,East Village,31364,8
PICKUP,2015-01,Lincoln Square East,29637,9
PICKUP,2015-01,Upper West Side North,28184,10
DROPOFF,2015-02,,215416,1
DROPOFF,2015-02,Upper East Side North,54610,2
DROPOFF,2015-02,Upper East Side North,50937,3
DROPOFF,2015-02,Upper East Side South,47484,4
DROPOFF,2015-02,Upper East Side South,45291,5
DROPOFF,2015-02,East Village,31362,6
DROPOFF,2015-02,Upper West Side North,29942,7
DROPOFF,2015-02,Lincoln Square East,28784,8
DROPOFF,2015-02,Upper West Side South,27335,9
DROPOFF,2015-02,Midtown East,27015,10
PICKUP,2015-02,,215416,1
PICKUP,2015-02,Upper East Side South,54610,2
PICKUP,2015-02,Upper East Side North,50937,3
PICKUP,2015-02,Upper East Side North,47484,4
PICKUP,2015-02,Upper East Side South,45291,5
PICKUP,2015-02,East Village,31362,6
PICKUP,2015-02,Upper West Side South,29942,7
PICKUP,2015-02,Upper West Side South,28784,8
PICKUP,2015-02,Lincoln Square East,27335,9
PICKUP,2015-02,Upper East Side South,27015,10
DROPOFF,2015-03,,215324,1
DROPOFF,2015-03,Upper East Side North,56336,2
DROPOFF,2015-03,Upper East Side South,49474,3
DROPOFF,2015-03,Upper East Side North,49174,4
DROPOFF,2015-03,Upper East Side South,46276,5
DROPOFF,2015-03,Upper West Side North,30298,6
DROPOFF,2015-03,Lincoln Square East,29145,7
DROPOFF,2015-03,East Village,29138,8
DROPOFF,2015-03,Midtown East,29127,9
DROPOFF,2015-03,Midtown Center,28840,10
PICKUP,2015-03,,215324,1
PICKUP,2015-03,Upper East Side South,56336,2
PICKUP,2015-03,Upper East Side North,49474,3
PICKUP,2015-03,Upper East Side North,49174,4
PICKUP,2015-03,Upper East Side South,46276,5
PICKUP,2015-03,Upper West Side South,30298,6
PICKUP,2015-03,Upper West Side South,29145,7
PICKUP,2015-03,East Village,29138,8
PICKUP,2015-03,Upper East Side South,29127,9
PICKUP,2015-03,Upper East Side South,28840,10
DROPOFF,2015-04,,187756,1
DROPOFF,2015-04,Upper East Side North,62491,2
DROPOFF,2015-04,Upper East Side South,55120,3
DROPOFF,2015-04,Upper East Side North,51661,4
DROPOFF,2015-04,Upper East Side South,49148,5
DROPOFF,2015-04,Midtown East,31349,6
DROPOFF,2015-04,Midtown Center,29402,7
DROPOFF,2015-04,Upper West Side North,28784,8
DROPOFF,2015-04,Lincoln Square East,28158,9
DROPOFF,2015-04,Upper West Side South,26525,10
PICKUP,2015-04,,187756,1
PICKUP,2015-04,Upper East Side South,62491,2
PICKUP,2015-04,Upper East Side North,55120,3
PICKUP,2015-04,Upper East Side North,51661,4
PICKUP,2015-04,Upper East Side South,49148,5
PICKUP,2015-04,Upper East Side South,31349,6
PICKUP,2015-04,Upper East Side South,29402,7
PICKUP,2015-04,Upper West Side South,28784,8
PICKUP,2015-04,Upper West Side South,28158,9
PICKUP,2015-04,Lincoln Square East,26525,10
DROPOFF,2015-05,,170253,1
DROPOFF,2015-05,Upper East Side North,62905,2
DROPOFF,2015-05,Upper East Side South,55396,3
DROPOFF,2015-05,Upper East Side North,50457,4
DROPOFF,2015-05,Upper East Side South,48304,5
DROPOFF,2015-05,Lincoln Square East,30455,6
DROPOFF,2015-05,Upper West Side North,29529,7
DROPOFF,2015-05,Midtown East,29345,8
DROPOFF,2015-05,Upper West Side South,29114,9
DROPOFF,2015-05,Midtown Center,27810,10
PICKUP,2015-05,,170253,1
PICKUP,2015-05,Upper East Side South,62905,2
PICKUP,2015-05,Upper East Side North,55396,3
PICKUP,2015-05,Upper East Side North,50457,4
PICKUP,2015-05,Upper East Side South,48304,5
PICKUP,2015-05,Upper West Side South,30455,6
PICKUP,2015-05,Upper West Side South,29529,7
PICKUP,2015-05,Upper East Side South,29345,8
PICKUP,2015-05,Lincoln Square East,29114,9
PICKUP,2015-05,Upper East Side South,27810,10
DROPOFF,2015-06,,149215,1
DROPOFF,2015-06,Upper East Side North,56260,2
DROPOFF,2015-06,Upper East Side South,48973,3
DROPOFF,2015-06,Upper East Side North,45741,4
DROPOFF,2015-06,Upper East Side South,44734,5
DROPOFF,2015-06,Midtown East,30238,6
DROPOFF,2015-06,Lincoln Square East,28295,7
DROPOFF,2015-06,Upper West Side North,27733,8
DROPOFF,2015-06,Midtown Center,27363,9
DROPOFF,2015-06,Upper West Side South,27252,10
PICKUP,2015-06,,149215,1
PICKUP,2015-06,Upper East Side South,56260,2
PICKUP,2015-06,Upper East Side North,48973,3
PICKUP,2015-06,Upper East Side North,45741,4
PICKUP,2015-06,Upper East Side South,44734,5
PICKUP,2015-06,Upper East Side South,30238,6
PICKUP,2015-06,Upper West Side South,28295,7
PICKUP,2015-06,Upper West Side South,27733,8
PICKUP,2015-06,Upper East Side South,27363,9
PICKUP,2015-06,Lincoln Square East,27252,10
DROPOFF,2015-07,,132848,1
DROPOFF,2015-07,Upper East Side North,41972,2
DROPOFF,2015-07,Upper East Side South,37241,3
DROPOFF,2015-07,Upper East Side South,36803,4
DROPOFF,2015-07,Upper East Side North,33157,5
DROPOFF,2015-07,Midtown East,28037,6
DROPOFF,2015-07,Midtown Center,25139,7
DROPOFF,2015-07,Midtown Center,24945,8
DROPOFF,2015-07,Times Sq/Theatre District,23318,9
DROPOFF,2015-07,Murray Hill,23275,10
PICKUP,2015-07,,132848,1
PICKUP,2015-07,Upper East Side South,41972,2
PICKUP,2015-07,Upper East Side South,37241,3
PICKUP,2015-07,Upper East Side North,36803,4
PICKUP,2015-07,Upper East Side North,33157,5
PICKUP,2015-07,Upper East Side South,28037,6
PICKUP,2015-07,Upper East Side South,25139,7
PICKUP,2015-07,Penn Station/Madison Sq West,24945,8
PICKUP,2015-07,Penn Station/Madison Sq West,23318,9
PICKUP,2015-07,Gramercy,23275,10
DROPOFF,2015-08,,126453,1
DROPOFF,2015-08,Upper East Side North,36462,2
DROPOFF,2015-08,Upper East Side South,32300,3
DROPOFF,2015-08,Upper East Side South,31564,4
DROPOFF,2015-08,Upper East Side North,27984,5
DROPOFF,2015-08,Midtown East,24208,6
DROPOFF,2015-08,Midtown Center,23740,7
DROPOFF,2015-08,Times Sq/Theatre District,22591,8
DROPOFF,2015-08,Midtown Center,22507,9
DROPOFF,2015-08,East Village,22224,10
PICKUP,2015-08,,126453,1
PICKUP,2015-08,Upper East Side South,36462,2
PICKUP,2015-08,Upper East Side South,32300,3
PICKUP,2015-08,Upper East Side North,31564,4
PICKUP,2015-08,Upper East Side North,27984,5
PICKUP,2015-08,Upper East Side South,24208,6
PICKUP,2015-08,Penn Station/Madison Sq West,23740,7
PICKUP,2015-08,Penn Station/Madison Sq West,22591,8
PICKUP,2015-08,Upper East Side South,22507,9
PICKUP,2015-08,East Village,22224,10
DROPOFF,2015-09,,123278,1
DROPOFF,2015-09,Upper East Side North,52613,2
DROPOFF,2015-09,Upper East Side South,46292,3
DROPOFF,2015-09,Upper East Side North,41831,4
DROPOFF,2015-09,Upper East Side South,41223,5
DROPOFF,2015-09,Midtown East,26495,6
DROPOFF,2015-09,Lincoln Square East,24814,7
DROPOFF,2015-09,Upper West Side North,24490,8
DROPOFF,2015-09,Upper West Side South,23220,9
DROPOFF,2015-09,Murray Hill,22708,10
PICKUP,2015-09,,123278,1
PICKUP,2015-09,Upper East Side South,52613,2
PICKUP,2015-09,Upper East Side North,46292,3
PICKUP,2015-09,Upper East Side North,41831,4
PICKUP,2015-09,Upper East Side South,41223,5
PICKUP,2015-09,Upper East Side South,26495,6
PICKUP,2015-09,Upper West Side South,24814,7
PICKUP,2015-09,Upper West Side South,24490,8
PICKUP,2015-09,Lincoln Square East,23220,9
PICKUP,2015-09,Gramercy,22708,10
DROPOFF,2015-10,,142110,1
DROPOFF,2015-10,Upper East Side North,62290,2
DROPOFF,2015-10,Upper East Side South,54078,3
DROPOFF,2015-10,Upper East Side North,50524,4
DROPOFF,2015-10,Upper East Side South,47336,5
DROPOFF,2015-10,Lincoln Square East,30046,6
DROPOFF,2015-10,Upper West Side North,29117,7
DROPOFF,2015-10,Midtown East,28736,8
DROPOFF,2015-10,Upper West Side South,28021,9
DROPOFF,2015-10,East Village,27634,10
PICKUP,2015-10,,142110,1
PICKUP,2015-10,Upper East Side South,62290,2
PICKUP,2015-10,Upper East Side North,54078,3
PICKUP,2015-10,Upper East Side North,50524,4
PICKUP,2015-10,Upper East Side South,47336,5
PICKUP,2015-10,Upper West Side South,30046,6
PICKUP,2015-10,Upper West Side South,29117,7
PICKUP,2015-10,Upper East Side South,28736,8
PICKUP,2015-10,Lincoln Square East,28021,9
PICKUP,2015-10,East Village,27634,10
DROPOFF,2015-11,,140362,1
DROPOFF,2015-11,Upper East Side North,59061,2
DROPOFF,2015-11,Upper East Side South,50890,3
DROPOFF,2015-11,Upper East Side North,47098,4
DROPOFF,2015-11,Upper East Side South,44085,5
DROPOFF,2015-11,Upper West Side North,28237,6
DROPOFF,2015-11,Lincoln Square East,28191,7
DROPOFF,2015-11,Midtown Center,25894,8
DROPOFF,2015-11,Upper West Side South,25876,9
DROPOFF,2015-11,Midtown East,25803,10
PICKUP,2015-11,,140362,1
PICKUP,2015-11,Upper East Side South,59061,2
PICKUP,2015-11,Upper East Side North,50890,3
PICKUP,2015-11,Upper East Side North,47098,4
PICKUP,2015-11,Upper East Side South,44085,5
PICKUP,2015-11,Upper West Side South,28237,6
PICKUP,2015-11,Upper West Side South,28191,7
PICKUP,2015-11,Upper East Side South,25894,8
PICKUP,2015-11,Lincoln Square East,25876,9
PICKUP,2015-11,Upper East Side South,25803,10
DROPOFF,2015-12,,139059,1
DROPOFF,2015-12,Upper East Side North,60009,2
DROPOFF,2015-12,Upper East Side South,51779,3
DROPOFF,2015-12,Upper East Side North,48747,4
DROPOFF,2015-12,Upper East Side South,46274,5
DROPOFF,2015-12,Lincoln Square East,29862,6
DROPOFF,2015-12,Upper West Side North,29561,7
DROPOFF,2015-12,Times Sq/Theatre District,28229,8
DROPOFF,2015-12,Upper West Side South,28134,9
DROPOFF,2015-12,Midtown East,27769,10
PICKUP,2015-12,,139059,1
PICKUP,2015-12,Upper East Side South,60009,2
PICKUP,2015-12,Upper East Side North,51779,3
PICKUP,2015-12,Upper East Side North,48747,4
PICKUP,2015-12,Upper East Side South,46274,5
PICKUP,2015-12,Upper West Side South,29862,6
PICKUP,2015-12,Upper West Side South,29561,7
PICKUP,2015-12,Penn Station/Madison Sq West,28229,8
PICKUP,2015-12,Lincoln Square East,28134,9
PICKUP,2015-12,Upper East Side South,27769,10
DROPOFF,2016-01,,143471,1
DROPOFF,2016-01,Upper East Side North,55551,2
DROPOFF,2016-01,Upper East Side North,49094,3
DROPOFF,2016-01,Upper East Side South,48184,4
DROPOFF,2016-01,Upper East Side South,41693,5
DROPOFF,2016-01,Upper West Side North,29502,6
DROPOFF,2016-01,Lincoln Square East,27475,7
DROPOFF,2016-01,Upper West Side South,25944,8
DROPOFF,2016-01,East Village,25697,9
DROPOFF,2016-01,Upper West Side South,24758,10
PICKUP,2016-01,,143471,1
PICKUP,2016-01,Upper East Side South,55551,2
PICKUP,2016-01,Upper East Side North,49094,3
PICKUP,2016-01,Upper East Side North,48184,4
PICKUP,2016-01,Upper East Side South,41693,5
PICKUP,2016-01,Upper West Side South,29502,6
PICKUP,2016-01,Upper West Side South,27475,7
PICKUP,2016-01,Lincoln Square East,25944,8
PICKUP,2016-01,East Village,25697,9
PICKUP,2016-01,Upper West Side North,24758,10
DROPOFF,2016-02,,149522,1
DROPOFF,2016-02,Upper East Side North,55506,2
DROPOFF,2016-02,Upper East Side North,50052,3
DROPOFF,2016-02,Upper East Side South,47643,4
DROPOFF,2016-02,Upper East Side South,42150,5
DROPOFF,2016-02,Upper West Side North,29233,6
DROPOFF,2016-02,Lincoln Square East,28486,7
DROPOFF,2016-02,East Village,27882,8
DROPOFF,2016-02,Upper West Side South,25717,9
DROPOFF,2016-02,Upper West Side South,25073,10
PICKUP,2016-02,,149522,1
PICKUP,2016-02,Upper East Side South,55506,2
PICKUP,2016-02,Upper East Side North,50052,3
PICKUP,2016-02,Upper East Side North,47643,4
PICKUP,2016-02,Upper East Side South,42150,5
PICKUP,2016-02,Upper West Side South,29233,6
PICKUP,2016-02,Upper West Side South,28486,7
PICKUP,2016-02,East Village,27882,8
PICKUP,2016-02,Lincoln Square East,25717,9
PICKUP,2016-02,Upper West Side North,25073,10
DROPOFF,2016-03,,152668,1
DROPOFF,2016-03,Upper East Side North,56679,2
DROPOFF,2016-03,Upper East Side South,48127,3
DROPOFF,2016-03,Upper East Side North,47704,4
DROPOFF,2016-03,Upper East Side South,43035,5
DROPOFF,2016-03,Upper West Side North,29152,6
DROPOFF,2016-03,Lincoln Square East,27939,7
DROPOFF,2016-03,Midtown Center,27086,8
DROPOFF,2016-03,Midtown Center,26899,9
DROPOFF,2016-03,Midtown East,26787,10
PICKUP,2016-03,,152668,1
PICKUP,2016-03,Upper East Side South,56679,2
