YEAR_MONTH_KEY,BOROUGH,TOTAL_REVENUE,TOTAL_TIPS,TIP_PERCENTAGE
2015-01,Bronx,156635.61,8194.690,6.085518600
2015-01,Brooklyn,3912814.00,418719.290,13.108520900
2015-01,EWR,44467.23,5518.180,14.345686000
2015-01,Manhattan,158984334.70,20041419.250,16.069695400
2015-01,Queens,25067056.08,2671631.920,13.201921300
2015-01,Staten Island,5777.55,437.520,8.510174800
2015-01,Unknown,3785288.04,404486.560,13.180062800
2015-01,,327239.50,39304.680,14.155519100
2015-02,Bronx,176874.88,9515.560,6.268394800
2015-02,Brooklyn,4397904.16,481384.810,13.437666100
2015-02,EWR,42847.01,5219.460,14.049739600
2015-02,Manhattan,157947535.37,17118688.230,13.515247900
2015-02,Queens,23874583.60,2622581.480,13.685273200
2015-02,Staten Island,4524.31,452.100,11.695498000
2015-02,Unknown,3891662.33,430302.020,13.677524800
2015-02,,358619.85,44374.170,14.650539200
2015-03,Bronx,199045.31,11240.560,6.594497700
2015-03,Brooklyn,4740632.52,520999.930,13.490154600
2015-03,EWR,53185.73,6513.410,14.099275800
2015-03,Manhattan,169242461.19,18117555.770,13.366446300
2015-03,Queens,29172393.36,3166043.510,13.520959700
2015-03,Staten Island,6320.05,824.810,16.017874200
2015-03,Unknown,4009701.45,439365.650,13.532886900
2015-03,,384803.01,48696.550,15.001975300
2015-04,Bronx,159451.37,10219.670,7.545899700
2015-04,Brooklyn,4518460.87,491200.680,13.292857100
2015-04,EWR,45359.11,6018.180,15.468641100
2015-04,Manhattan,168812624.07,17831920.660,13.165990100
2015-04,Queens,29007901.85,3053377.540,13.077389700
2015-04,Staten Island,3416.83,262.130,8.717964100
2015-04,Unknown,3556390.99,381049.360,13.186704600
2015-04,,337021.09,42326.380,14.827351500
2015-05,Bronx,173506.70,10734.890,7.266011200
2015-05,Brooklyn,5051518.04,546701.860,13.197701700
2015-05,EWR,53547.63,6738.400,14.554320400
2015-05,Manhattan,171951346.84,18053593.730,12.989623200
2015-05,Queens,31862840.97,3345727.350,13.015006900
2015-05,Staten Island,4346.84,443.880,11.930077300
2015-05,Unknown,3393853.19,366209.720,13.240224400
2015-05,,384153.52,44902.280,13.705288800
2015-06,Bronx,153357.75,10449.050,8.049060100
2015-06,Brooklyn,3917451.93,425107.500,13.282932900
2015-06,EWR,46782.26,6302.660,15.777902800
2015-06,Manhattan,160418302.16,17029036.400,13.169450800
2015-06,Queens,30530928.66,3257791.980,13.247075500
2015-06,Staten Island,4264.61,464.620,12.748910000
2015-06,Unknown,3000539.79,325165.240,13.310960200
2015-06,,383053.46,46515.360,14.352107600
2015-07,Bronx,146351.19,9300.020,7.460163200
2015-07,Brooklyn,3469541.79,372217.060,13.113061600
2015-07,EWR,42004.77,4826.710,13.145265100
2015-07,Manhattan,148657081.41,15567368.550,12.989100500
2015-07,Queens,28215743.64,2887650.570,12.641723700
2015-07,Staten Island,3339.32,507.150,18.621054300
2015-07,Unknown,2688394.06,287593.230,13.133547300
