BOROUGH,DAY_NIGHT_BAND,HOUR_OF_DAY,AVG_MPH
Bronx,NOCTURNO (22h-6h),0,53.176832053487
Bronx,NOCTURNO (22h-6h),1,53.293207599369
Bronx,NOCTURNO (22h-6h),2,47.363421340893
Bronx,NOCTURNO (22h-6h),3,53.977337645036
Bronx,NOCTURNO (22h-6h),4,50.134789749088
Bronx,NOCTURNO (22h-6h),5,36.151689859661
Bronx,DIURNO (6h-22h),6,22.989244111051
Bronx,DIURNO (6h-22h),7,17.236928599575
Bronx,DIURNO (6h-22h),8,17.565734940430
Bronx,DIURNO (6h-22h),9,18.591130919078
Bronx,DIURNO (6h-22h),10,21.129605121753
Bronx,DIURNO (6h-22h),11,20.268231668493
Bronx,DIURNO (6h-22h),12,18.468857850131
Bronx,DIURNO (6h-22h),13,23.149629950866
Bronx,DIURNO (6h-22h),14,23.761574227993
Bronx,DIURNO (6h-22h),15,29.026523549836
Bronx,DIURNO (6h-22h),16,21.088882556637
Bronx,DIURNO (6h-22h),17,24.704083657026
Bronx,DIURNO (6h-22h),18,22.700450699711
Bronx,DIURNO (6h-22h),19,32.979264839712
Bronx,DIURNO (6h-22h),20,34.481537240292
Bronx,DIURNO (6h-22h),21,36.882353897280
Bronx,NOCTURNO (22h-6h),22,46.203243928115
Bronx,NOCTURNO (22h-6h),23,41.186935663492
Brooklyn,NOCTURNO (22h-6h),0,20.411430455713
Brooklyn,NOCTURNO (22h-6h),1,22.754997211548
Brooklyn,NOCTURNO (22h-6h),2,24.180230979713
Brooklyn,NOCTURNO (22h-6h),3,26.578480071803
Brooklyn,NOCTURNO (22h-6h),4,31.685538371909
Brooklyn,NOCTURNO (22h-6h),5,33.214515457217
Brooklyn,DIURNO (6h-22h),6,22.176057061822
Brooklyn,DIURNO (6h-22h),7,17.443504994188
Brooklyn,DIURNO (6h-22h),8,14.348151519925
Brooklyn,DIURNO (6h-22h),9,15.705920816847
Brooklyn,DIURNO (6h-22h),10,16.497382973549
Brooklyn,DIURNO (6h-22h),11,16.872754375340
Brooklyn,DIURNO (6h-22h),12,17.342152765425
Brooklyn,DIURNO (6h-22h),13,16.221477173150
