DAY_OF_WEEK_ISO,DAY_OF_WEEK_NAME,HOUR_OF_DAY,TOTAL_TRIPS
1,Mon,0,1985672
1,Mon,1,1171009
1,Mon,2,746705
1,Mon,3,527406
1,Mon,4,589256
1,Mon,5,1017409
1,Mon,6,2543852
1,Mon,7,4285268
1,Mon,8,5242469
1,Mon,9,5138838
1,Mon,10,4865627
1,Mon,11,4951416
1,Mon,12,5237668
1,Mon,13,5327063
1,Mon,14,5764181
1,Mon,15,5872349
1,Mon,16,5554701
1,Mon,17,6293179
1,Mon,18,6954421
1,Mon,19,6394453
1,Mon,20,5822812
1,Mon,21,5555766
1,Mon,22,4723009
1,Mon,23,3313391
2,Tue,0,2062090
2,Tue,1,1142446
2,Tue,2,683901
2,Tue,3,453171
2,Tue,4,493511
2,Tue,5,996664
2,Tue,6,2724601
2,Tue,7,4860457
2,Tue,8,5932453
2,Tue,9,5745035
2,Tue,10,5385299
2,Tue,11,5436599
2,Tue,12,5699440
2,Tue,13,5738696
2,Tue,14,6180047
2,Tue,15,6150276
2,Tue,16,5675734
2,Tue,17,6593127
2,Tue,18,7539377
2,Tue,19,7095247
2,Tue,20,6700569
2,Tue,21,6681492
2,Tue,22,5850649
2,Tue,23,4179062
3,Wed,0,2549677
3,Wed,1,1428574
3,Wed,2,863102
3,Wed,3,569944
3,Wed,4,565363
3,Wed,5,1017647
3,Wed,6,2754424
3,Wed,7,4973120
3,Wed,8,6074392
3,Wed,9,5858518
3,Wed,10,5508567
3,Wed,11,5638176
3,Wed,12,5913094
3,Wed,13,5932238
3,Wed,14,6262290
3,Wed,15,6188998
3,Wed,16,5687686
3,Wed,17,6653019
3,Wed,18,7625050
3,Wed,19,7415547
3,Wed,20,6983076
3,Wed,21,6998693
3,Wed,22,6348386
3,Wed,23,4757976
4,Thu,0,3033992
4,Thu,1,1756721
4,Thu,2,1083621
4,Thu,3,719538
4,Thu,4,665680
4,Thu,5,1059311
4,Thu,6,2789811
4,Thu,7,4996651
4,Thu,8,6051253
4,Thu,9,5852787
4,Thu,10,5545877
4,Thu,11,5658721
4,Thu,12,5948535
4,Thu,13,5975129
4,Thu,14,6397496
4,Thu,15,6268738
4,Thu,16,5704221
4,Thu,17,6662054
4,Thu,18,7672924
4,Thu,19,7504934
4,Thu,20,7156700
4,Thu,21,7216244
4,Thu,22,6754579
4,Thu,23,5611161
5,Fri,0,4017486
5,Fri,1,2545669
5,Fri,2,1615236
5,Fri,3,1055008
5,Fri,4,870442
5,Fri,5,1111657
5,Fri,6,2639932
5,Fri,7,4579098
5,Fri,8,5617618
5,Fri,9,5529252
5,Fri,10,5335421
5,Fri,11,5513650
5,Fri,12,5764505
5,Fri,13,5799809
5,Fri,14,6314181
5,Fri,15,6161885
5,Fri,16,5674785
5,Fri,17,6628206
5,Fri,18,7571538
5,Fri,19,7555976
5,Fri,20,6610654
5,Fri,21,6505394
5,Fri,22,6744565
5,Fri,23,6419147
6,Sat,0,5643706
6,Sat,1,4677209
6,Sat,2,3721619
6,Sat,3,2669505
6,Sat,4,1666183
6,Sat,5,872748
6,Sat,6,1228034
6,Sat,7,1840973
6,Sat,8,2810239
6,Sat,9,4027299
6,Sat,10,4915800
6,Sat,11,5551909
6,Sat,12,6059779
6,Sat,13,6203133
6,Sat,14,6079678
6,Sat,15,6200056
6,Sat,16,5950215
6,Sat,17,6398694
6,Sat,18,6936861
6,Sat,19,6971214
6,Sat,20,5939555
6,Sat,21,5902146
6,Sat,22,6360280
6,Sat,23,6342719
7,Sun,0,5741186
7,Sun,1,5060390
7,Sun,2,3944085
7,Sun,3,3011397
7,Sun,4,1889967
7,Sun,5,895738
7,Sun,6,1039257
7,Sun,7,1470591
7,Sun,8,2221289
7,Sun,9,3308168
7,Sun,10,4479356
7,Sun,11,5167868
7,Sun,12,5661818
7,Sun,13,5739908
7,Sun,14,5802586
7,Sun,15,5643227
7,Sun,16,5533871
7,Sun,17,5694664
7,Sun,18,5758759
7,Sun,19,5171741
7,Sun,20,4683165
7,Sun,21,4432195
7,Sun,22,3894985
7,Sun,23,3018330
